Plan: 'Test 2' (Sava2D-Obr-Ost.p02)
Simulation started at: 25Aug2022 12:46:46 PM

Writing Geometry...
Computing 2D Flow Area 'Obuhvat2D' tables: Property tables do not exist.
2D Flow Area 'Obuhvat2D' tables complete 14.16 sec
Completed Writing Geometry

	
Geometric Preprocessor HEC-RAS 6.2 March 2022
 

Finished Processing Geometry

Writing Event Conditions ...
Completed Writing Event Condition Data


Performing Unsteady Flow Simulation  HEC-RAS 6.2 March 2022
 
	
Unsteady Input Summary:
     2D Unsteady SWE-ELM Equation Set (faster)

Maximum adaptive timestep = 20:00.0    Minimum adaptive timestep = 00:02.344
Initial adaptive timestep = 00:37.5

Maximum iteration location		Cell	 WSEL	ERROR	ITERATIONS
01SEP2022 01:40:38  Obuhvat2D	Cell #	     30970	   65.81	   0.361	20
01SEP2022 01:40:56  Obuhvat2D	Cell #	     30970	   66.19	   0.379	21
01SEP2022 01:41:15  Obuhvat2D	Cell #	     30970	   65.85	   0.056	20

01SEP2022 01:41:34  Obuhvat2D	Cell #	     30970	   65.85	   0.228	22
01SEP2022 01:41:53  Obuhvat2D	Cell #	     30970	   65.88	   0.202	20
01SEP2022 01:42:11  Obuhvat2D	Cell #	     30970	   65.90	   0.140	23
01SEP2022 01:42:30  Obuhvat2D	Cell #	     30970	   65.98	   0.050	20

01SEP2022 01:42:49  Obuhvat2D	Cell #	     30970	   65.85	   0.129	21
01SEP2022 01:43:08  Obuhvat2D	Cell #	     30970	   66.17	   0.317	21
01SEP2022 01:43:26  Obuhvat2D	Cell #	     30970	   65.91	   0.050	21
01SEP2022 01:43:45  Obuhvat2D	Cell #	     30970	   65.92	   0.066	23

01SEP2022 01:44:04  Obuhvat2D	Cell #	     30970	   66.05	   0.123	22
01SEP2022 01:44:23  Obuhvat2D	Cell #	     30970	   65.80	   0.221	20
01SEP2022 01:44:41  Obuhvat2D	Cell #	     30970	   66.20	   0.399	21
01SEP2022 01:45:00  Obuhvat2D	Cell #	     30970	   65.85	   0.071	21

01SEP2022 01:45:19  Obuhvat2D	Cell #	     30970	   66.10	   0.241	22
01SEP2022 01:45:38  Obuhvat2D	Cell #	     30970	   66.01	   0.239	21
01SEP2022 01:45:56  Obuhvat2D	Cell #	     30970	   65.82	   0.192	21
01SEP2022 01:46:15  Obuhvat2D	Cell #	     30970	   66.24	   0.422	21

01SEP2022 01:46:34  Obuhvat2D	Cell #	     31209	   66.73	   0.078	21
01SEP2022 01:46:53  Obuhvat2D	Cell #	     30970	   66.11	   0.259	24
01SEP2022 01:47:11  Obuhvat2D	Cell #	     30970	   66.00	   0.210	21
01SEP2022 01:47:30  Obuhvat2D	Cell #	     30970	   65.85	   0.152	22

01SEP2022 01:47:49  Obuhvat2D	Cell #	     30970	   66.19	   0.344	21
01SEP2022 01:48:08  Obuhvat2D	Cell #	     30971	   66.12	   0.005	20
01SEP2022 01:48:26  Obuhvat2D	Cell #	     30970	   66.08	   0.180	23
01SEP2022 01:48:45  Obuhvat2D	Cell #	     30970	   66.01	   0.197	23

01SEP2022 01:49:04  Obuhvat2D	Cell #	     31209	   66.63	   0.216	23
01SEP2022 01:49:23  Obuhvat2D	Cell #	     30970	   66.15	   0.277	22
01SEP2022 01:49:41  Obuhvat2D	Cell #	     30971	   66.18	   0.173	23
01SEP2022 01:50:00  Obuhvat2D	Cell #	     31840	   65.35	   0.039	20

01SEP2022 01:50:19  Obuhvat2D	Cell #	     31209	   66.83	   0.049	20
01SEP2022 01:50:38  Obuhvat2D	Cell #	     30971	   66.23	   0.101	21
01SEP2022 01:50:56  Obuhvat2D	Cell #	     30971	   65.97	   0.257	20
01SEP2022 01:51:15  Obuhvat2D	Cell #	     30970	   66.25	   0.423	20

01SEP2022 01:51:34  Obuhvat2D	Cell #	     31209	   66.86	   0.130	21
01SEP2022 01:51:53  Obuhvat2D	Cell #	     30970	   66.13	   0.264	22
01SEP2022 01:52:11  Obuhvat2D	Cell #	     30970	   65.96	   0.027	20
01SEP2022 01:52:30  Obuhvat2D	Cell #	     30971	   66.16	   0.015	20

01SEP2022 01:52:49  Obuhvat2D	Cell #	     30970	   65.94	   0.038	21
01SEP2022 01:53:08  Obuhvat2D	Cell #	     30970	   66.05	   0.111	21
01SEP2022 01:53:26  Obuhvat2D	Cell #	     30970	   65.98	   0.067	21
01SEP2022 01:53:45  Obuhvat2D	Cell #	     31209	   66.77	   0.086	22

01SEP2022 01:54:04  Obuhvat2D	Cell #	     30970	   66.03	   0.084	20
01SEP2022 01:54:23  Obuhvat2D	Cell #	     31209	   66.88	   0.166	21
